date	checks	seas_checks
1998-12-01	839693	591037.504
1999-01-01	568065	614801.36
1999-02-01	667904	664378.368
1999-03-01	720947	684289.7954
1999-04-01	621227	686163.0516
1999-05-01	555443	717039.4789
1999-06-01	550539	723960.3749
1999-07-01	563796	723218.9629
1999-08-01	676775	733587.4678
1999-09-01	779320	731933.9704
1999-10-01	910929	751890.1447
1999-11-01	967665	788653.8938
1999-12-01	1212925	831722.6132
2000-01-01	611394	669809.6828
2000-02-01	674692	658024.2825
2000-03-01	706369	663362.2287
2000-04-01	590249	677018.9644
2000-05-01	513608	663056.1281
2000-06-01	526157	682191.6953
2000-07-01	520544	691147.8585
2000-08-01	658345	691443.341
2000-09-01	754038	688145.1772
2000-10-01	814992	677036.254
2000-11-01	863008	689222.8927
2000-12-01	963804	671921.9331
2001-01-01	616096	671130.965
2001-02-01	645397	657460.1142
2001-03-01	700165	664742.3426
2001-04-01	569503	663029.3114
2001-05-01	519528	671856.6698
2001-06-01	520521	680546.8467
2001-07-01	519229	697553.2295
2001-08-01	684398	704227.8712
2001-09-01	837806	780230.4434
2001-10-01	998138	802816.4021
2001-11-01	947596	742904.2879
2001-12-01	1022672	721987.9179
2002-01-01	637346	688639.31
2002-02-01	665436	677383.1936
2002-03-01	688267	667991.6775
2002-04-01	603638	691852.8034
2002-05-01	543772	688586.8116
2002-06-01	494697	666916.0444
2002-07-01	516931	682709.078
2002-08-01	669834	687103.3807
2002-09-01	700625	667395.1433
2002-10-01	821076	669148.574
2002-11-01	855827	677804.9165
2002-12-01	940197	670204.8135
2003-01-01	628274	660461.7374
2003-02-01	682889	686496.8599
2003-03-01	711847	693950.6965
2003-04-01	599645	680635.6646
2003-05-01	546854	686191.4581
2003-06-01	511072	687951.7417
2003-07-01	511684	671170.1436
2003-08-01	659048	691905.9876
2003-09-01	713998	682210.8236
2003-10-01	825147	674792.824
2003-11-01	812619	671020.9808
2003-12-01	972298	680385.7078
2004-01-01	665670	686509.2782
2004-02-01	694761	679082.2096
2004-03-01	710907	681901.1063
2004-04-01	612501	678147.8456
2004-05-01	517391	671134.1491
2004-06-01	524829	691151.1884
2004-07-01	538322	689751.124
2004-08-01	641605	694861.6072
2004-09-01	714186	685406.9746
2004-10-01	834304	708190.6357
2004-11-01	857716	709314.2708
2004-12-01	1032725	705623.9329
2005-01-01	659633	694351.4122
2005-02-01	713297	702676.0912
2005-03-01	737922	699181.1906
2005-04-01	630462	692131.368
2005-05-01	534317	692705.8055
2005-06-01	535127	695679.4516
2005-07-01	541527	706850.684
2005-08-01	662455	710853.9606
2005-09-01	767850	739603.6843
2005-10-01	827051	730522.9767
2005-11-01	896598	750181.4585
2005-12-01	1128227	772292.4966
2006-01-01	748014	782398.2551
2006-02-01	792309	773658.3842
2006-03-01	816591	754068.5326
2006-04-01	672529	750158.079
2006-05-01	604984	756480.6407
2006-06-01	598647	759728.1233
2006-07-01	571412	750258.8085
2006-08-01	717418	769236.697
2006-09-01	796478	781173.619
2006-10-01	847978	774217.047
2006-11-01	917471	776134.5549
2006-12-01	1117627	794805.8253
2007-01-01	767971	786441.1202
2007-02-01	786009	765634.7904
2007-03-01	846334	771243.5755
2007-04-01	713826	785330.6071
2007-05-01	675539	822971.6031
2007-06-01	663247	829178.1158
2007-07-01	635421	828587.1576
2007-08-01	781368	826078.2642
2007-09-01	809206	837360.5403
2007-10-01	882635	809297.7211
2007-11-01	934886	795008.8823
2007-12-01	1077980	794618.9708
2008-01-01	797470	810372.2703
2008-02-01	871344	799310.3325
2008-03-01	893081	829060.6766
2008-04-01	790378	834867.2966
2008-05-01	734974	867098.0596
2008-06-01	671902	867289.8549
2008-07-01	705079	891298.608
2008-08-01	801493	871819.3152
2008-09-01	815818	864155.2219
2008-10-01	1020070	935015.5166
2008-11-01	1357672	1203989.099
2008-12-01	1352603	1001954.883
2009-01-01	1045828	1036357.003
2009-02-01	1084220	1021324.658
2009-03-01	1167045	1070149.996
2009-04-01	1047035	1068146.661
2009-05-01	844628	1008063.7
2009-06-01	788113	998622.9534
2009-07-01	784209	966056.7849
2009-08-01	888446	981161.9662
2009-09-01	900655	963941.4021
2009-10-01	1031980	962127.2401
2009-11-01	1021573	924345.3301
2009-12-01	1191643	895479.1851
2010-01-01	910413	930265.7792
2010-02-01	1026540	954467.826
2010-03-01	1080550	972357.8391
2010-04-01	1015499	1017333.484
2010-05-01	796008	959313.6279
2010-06-01	782115	982062.5849
2010-07-01	843246	1023342.658
2010-08-01	901225	999016.4399
2010-09-01	967715	1035437.633
2010-10-01	1182613	1144271.265
2010-11-01	1104909	985655.9641
2010-12-01	1324077	976608.2139
2011-01-01	1135080	1176866.562
2011-02-01	1274763	1164672.005
2011-03-01	1253163	1123029.402
2011-04-01	1155478	1165216.349
2011-05-01	1039159	1256572.317
2011-06-01	973736	1208822.644
2011-07-01	962999	1190740.443
2011-08-01	1110762	1213757.241
2011-09-01	1050424	1129632.363
2011-10-01	1135810	1141063.02
2011-11-01	1323771	1172920.197
2011-12-01	1640755	1197256.955
2012-01-01	1169477	1216108.674
2012-02-01	1519150	1310647.279
2012-03-01	1504068	1306043.461
2012-04-01	1211111	1274765.752
2012-05-01	1100438	1310871.47
2012-06-01	1080767	1330581.728
2012-07-01	1079755	1371800.87
2012-08-01	1298420	1398256.739
2012-09-01	1233851	1375606.22
2012-10-01	1383757	1385920.802
2012-11-01	1777782	1527998.987
2012-12-01	2515898	1881393.701
2013-01-01	2244720	2259708.307
2013-02-01	2051301	1816994.408
2013-03-01	1953863	1717408.367
2013-04-01	1663265	1728447.215
2013-05-01	1399179	1650230.595
2013-06-01	1241622	1574160.102
2013-07-01	1241852	1551309.325
2013-08-01	1381172	1495591.226
2013-09-01	1337997	1493292.316
2013-10-01	1474794	1466485.058
2013-11-01	1597063	1376351.355
2013-12-01	1801545	1368854.88
2014-01-01	1392094	1389362.327
2014-02-01	1640123.5	1464681.552
2014-03-01	1704333.5	1519625.882
2014-04-01	1459496	1526499.389
